epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3925.75,0.74427,0.62181,1.03333,0.9115,0.90756,0.95427,0.89405,0.30997,0.29094,0.83085,0.0011882,0.0011882,0.0011882
43,4018.58,0.73476,0.61668,1.02671,0.91182,0.9012,0.95748,0.8959,0.3028,0.28177,0.8255,0.0011684,0.0011684,0.0011684
44,4111.28,0.74132,0.62157,1.02951,0.91067,0.90654,0.954,0.89544,0.31068,0.28955,0.82702,0.0011486,0.0011486,0.0011486
45,4203.82,0.74945,0.62198,1.03194,0.9016,0.9053,0.95365,0.89373,0.30513,0.2944,0.82349,0.0011288,0.0011288,0.0011288
46,4295.27,0.74122,0.62368,1.02144,0.91302,0.91095,0.95448,0.89596,0.30083,0.28388,0.82881,0.001109,0.001109,0.001109
47,4385,0.74115,0.60886,1.02962,0.92344,0.90174,0.95862,0.89457,0.30697,0.27612,0.83011,0.0010892,0.0010892,0.0010892
48,4474.45,0.72586,0.59224,1.01508,0.9149,0.90521,0.95506,0.89569,0.29551,0.28405,0.82885,0.0010694,0.0010694,0.0010694
49,4563.77,0.7172,0.59654,1.02076,0.90976,0.8972,0.9502,0.89265,0.29734,0.28254,0.82882,0.0010496,0.0010496,0.0010496
50,4653.13,0.71176,0.58517,1.01425,0.91354,0.90387,0.95594,0.8922,0.30877,0.28615,0.83277,0.0010298,0.0010298,0.0010298
51,4743.24,0.71073,0.58926,1.0116,0.913,0.9012,0.95225,0.89495,0.29874,0.27935,0.82781,0.00101,0.00101,0.00101
52,4832.14,0.71107,0.58621,1.01354,0.92021,0.90788,0.95377,0.89473,0.29336,0.27752,0.8302,0.0009902,0.0009902,0.0009902
53,4921.7,0.69722,0.57854,1.00729,0.90679,0.91055,0.95426,0.8961,0.29645,0.28304,0.82666,0.0009704,0.0009704,0.0009704
54,5010.93,0.69049,0.56645,1.00315,0.91522,0.908,0.95674,0.89912,0.29279,0.2822,0.82248,0.0009506,0.0009506,0.0009506
55,5101.53,0.6968,0.57222,1.0031,0.89803,0.91713,0.95553,0.90038,0.28317,0.2736,0.82255,0.0009308,0.0009308,0.0009308
56,5193.53,0.70159,0.57784,1.00696,0.9178,0.90254,0.95646,0.90184,0.2913,0.27698,0.82495,0.000911,0.000911,0.000911
57,5285.61,0.69205,0.56743,1.0043,0.90997,0.90387,0.95625,0.9051,0.28775,0.27111,0.82359,0.0008912,0.0008912,0.0008912
58,5379.19,0.68907,0.57032,1.00091,0.89867,0.92359,0.95901,0.90363,0.28621,0.26619,0.82423,0.0008714,0.0008714,0.0008714
59,5470.55,0.68144,0.56744,1.00087,0.88935,0.92924,0.95361,0.89798,0.28866,0.27819,0.82268,0.0008516,0.0008516,0.0008516
60,5562,0.67535,0.54977,0.99494,0.9268,0.89597,0.9526,0.90195,0.28374,0.26966,0.82574,0.0008318,0.0008318,0.0008318
61,5653.9,0.68195,0.56046,1.00121,0.91145,0.90521,0.95684,0.90526,0.27931,0.26976,0.81784,0.000812,0.000812,0.000812
62,5746.02,0.66965,0.54711,0.98912,0.89076,0.9239,0.95747,0.90355,0.28275,0.26741,0.82241,0.0007922,0.0007922,0.0007922
63,5837.48,0.67066,0.55025,0.99352,0.90792,0.91589,0.95398,0.90224,0.28677,0.26766,0.82509,0.0007724,0.0007724,0.0007724
64,5929.48,0.67634,0.55065,0.99758,0.91811,0.90521,0.95564,0.9044,0.28076,0.2614,0.82278,0.0007526,0.0007526,0.0007526
65,6021.3,0.65882,0.53483,0.986,0.90275,0.9279,0.95844,0.90728,0.2801,0.25956,0.82208,0.0007328,0.0007328,0.0007328
66,6114.89,0.66073,0.54011,0.98807,0.90846,0.9239,0.95842,0.90695,0.28092,0.26423,0.82318,0.000713,0.000713,0.000713
67,6206.54,0.65156,0.53308,0.98417,0.91988,0.91455,0.95831,0.90618,0.28261,0.25969,0.82068,0.0006932,0.0006932,0.0006932
68,6298.4,0.65853,0.53916,0.98548,0.91076,0.91296,0.95713,0.90662,0.28024,0.25593,0.82036,0.0006734,0.0006734,0.0006734
69,6390.41,0.64969,0.52386,0.9873,0.90999,0.91783,0.95702,0.90805,0.27324,0.25902,0.81948,0.0006536,0.0006536,0.0006536
70,6482.49,0.63871,0.51938,0.97664,0.89626,0.92277,0.95431,0.90515,0.27674,0.25697,0.81874,0.0006338,0.0006338,0.0006338
71,6574.53,0.64824,0.52206,0.98135,0.92237,0.90415,0.95902,0.91136,0.27144,0.25494,0.81671,0.000614,0.000614,0.000614
72,6666.57,0.64804,0.52588,0.98294,0.91538,0.91322,0.96037,0.91302,0.2731,0.25245,0.81848,0.0005942,0.0005942,0.0005942
73,6759.43,0.64379,0.52955,0.98176,0.92207,0.90387,0.95647,0.90753,0.27297,0.25431,0.82116,0.0005744,0.0005744,0.0005744
74,6852.67,0.63233,0.51268,0.97387,0.91766,0.90763,0.95515,0.90709,0.27565,0.2583,0.8189,0.0005546,0.0005546,0.0005546
75,6944.37,0.62156,0.50055,0.96923,0.90572,0.92352,0.95674,0.90869,0.27144,0.25385,0.81675,0.0005348,0.0005348,0.0005348
76,7036.37,0.61991,0.50117,0.96514,0.90311,0.91989,0.95667,0.90831,0.27328,0.25675,0.81952,0.000515,0.000515,0.000515
77,7128.47,0.62336,0.50284,0.9676,0.90787,0.92092,0.95632,0.90992,0.26787,0.25103,0.81952,0.0004952,0.0004952,0.0004952
78,7220.99,0.62099,0.50318,0.97122,0.91201,0.91455,0.95591,0.90944,0.27046,0.25382,0.82116,0.0004754,0.0004754,0.0004754
79,7313.26,0.61203,0.49997,0.96743,0.90842,0.90921,0.95734,0.91072,0.2649,0.25175,0.81756,0.0004556,0.0004556,0.0004556
80,7405.02,0.62766,0.50455,0.97178,0.92775,0.8972,0.95806,0.91221,0.26149,0.25015,0.81649,0.0004358,0.0004358,0.0004358
81,7499.14,0.61113,0.49858,0.96589,0.91456,0.91455,0.95664,0.91378,0.26137,0.2457,0.81823,0.000416,0.000416,0.000416
82,7590.92,0.61079,0.50256,0.9662,0.91584,0.91534,0.96026,0.91361,0.26614,0.25097,0.81834,0.0003962,0.0003962,0.0003962
83,7682.73,0.59443,0.4782,0.95859,0.91625,0.92021,0.95915,0.91319,0.26456,0.25474,0.81588,0.0003764,0.0003764,0.0003764
84,7774.88,0.60654,0.48386,0.96122,0.93762,0.88652,0.9601,0.91487,0.26463,0.25191,0.81594,0.0003566,0.0003566,0.0003566
85,7867.03,0.60021,0.48767,0.95889,0.91638,0.91322,0.95845,0.91288,0.26085,0.24915,0.81331,0.0003368,0.0003368,0.0003368
86,7959.12,0.58784,0.4721,0.9512,0.91072,0.92612,0.95918,0.91227,0.25967,0.24489,0.81382,0.000317,0.000317,0.000317
87,8052.38,0.5982,0.47784,0.95575,0.91614,0.92123,0.96095,0.91355,0.25996,0.2461,0.81323,0.0002972,0.0002972,0.0002972
88,8141.4,0.59034,0.47277,0.95839,0.91128,0.91876,0.9603,0.91511,0.25689,0.24521,0.8127,0.0002774,0.0002774,0.0002774
89,8230.43,0.59491,0.47865,0.95502,0.91594,0.91722,0.96054,0.91558,0.25949,0.24642,0.81077,0.0002576,0.0002576,0.0002576
90,8319.27,0.59347,0.47739,0.9614,0.91836,0.91722,0.95948,0.91361,0.25852,0.24459,0.81191,0.0002378,0.0002378,0.0002378
91,8403.28,0.53221,0.42252,0.91198,0.92104,0.91878,0.96103,0.91249,0.26519,0.24189,0.81653,0.000218,0.000218,0.000218
92,8491.08,0.51457,0.4036,0.90222,0.91849,0.91322,0.96354,0.91758,0.25964,0.23913,0.81422,0.0001982,0.0001982,0.0001982
93,8580.72,0.50616,0.3966,0.90301,0.91978,0.91322,0.96058,0.91559,0.26148,0.24094,0.81435,0.0001784,0.0001784,0.0001784
94,8670.72,0.50684,0.39516,0.90015,0.91159,0.92232,0.96003,0.91558,0.26189,0.24073,0.81428,0.0001586,0.0001586,0.0001586
95,8758.83,0.50035,0.38426,0.89984,0.90934,0.924,0.95876,0.91361,0.25802,0.24385,0.81065,0.0001388,0.0001388,0.0001388
96,8845.82,0.49434,0.38599,0.89436,0.90987,0.92256,0.95927,0.91337,0.26,0.24185,0.81824,0.000119,0.000119,0.000119
97,8932.98,0.495,0.38885,0.89938,0.92138,0.90921,0.95928,0.91494,0.25838,0.24012,0.81432,9.92e-05,9.92e-05,9.92e-05
98,9021.24,0.48739,0.3827,0.89298,0.94324,0.89319,0.96135,0.91616,0.2579,0.2408,0.81319,7.94e-05,7.94e-05,7.94e-05
99,9108.54,0.48909,0.38136,0.89275,0.94752,0.89188,0.96268,0.91641,0.25598,0.2389,0.81168,5.96e-05,5.96e-05,5.96e-05
100,9195.74,0.48679,0.37779,0.89213,0.94104,0.89493,0.96128,0.91652,0.25517,0.23843,0.81236,3.98e-05,3.98e-05,3.98e-05
